"year_obs","accumulated_count_quebec","accumulated_count_outside","accumulated_count"
1534,3,0,3
1626,4,0,4
1665,5,0,5
1697,5,1,6
1760,6,2,8
1760,6,2,8
1800,6,4,10
1801,6,5,11
1802,6,59,65
1803,6,60,66
1804,6,63,69
1806,6,64,70
1810,6,65,71
1811,6,66,72
1813,6,67,73
1814,6,68,74
1815,6,72,78
1816,6,73,79
1817,6,74,80
1818,6,77,83
1819,6,79,85
1820,6,80,86
1821,6,82,88
1822,6,85,91
1823,6,89,95
1824,6,96,102
1825,6,99,105
1826,6,100,106
1827,6,102,108
1828,6,105,111
1829,6,114,120
1830,6,125,131
1831,6,133,139
1832,6,137,143
1833,19,147,166
1833,19,147,166
1834,19,165,184
1835,21,169,190
1835,21,169,190
1836,22,175,197
1836,22,175,197
1837,22,214,236
1838,22,269,291
1839,22,290,312
1840,22,304,326
1841,22,308,330
1842,22,314,336
1843,22,320,342
1844,22,329,351
1845,22,341,363
1846,22,348,370
1847,22,352,374
1848,23,401,424
1848,23,401,424
1849,23,405,428
1850,24,418,442
1850,24,418,442
1851,24,437,461
1852,24,444,468
1853,24,463,487
1854,24,490,514
1855,24,508,532
1856,24,528,552
1857,25,583,608
1857,25,583,608
1858,25,617,642
1859,28,638,666
1859,28,638,666
1860,43,731,774
1860,43,731,774
1861,56,789,845
1861,56,789,845
1862,57,851,908
1862,57,851,908
1863,57,878,935
1864,57,887,944
1865,60,910,970
1865,60,910,970
1866,61,938,999
1866,61,938,999
1867,68,974,1042
1867,68,974,1042
1868,69,1036,1105
1868,69,1036,1105
1869,70,1077,1147
1869,70,1077,1147
1870,70,1140,1210
1871,72,1199,1271
1871,72,1199,1271
1872,73,1266,1339
1872,73,1266,1339
1873,74,1401,1475
1873,74,1401,1475
1874,84,1509,1593
1874,84,1509,1593
1875,88,1610,1698
1875,88,1610,1698
1876,93,1726,1819
1876,93,1726,1819
1877,106,1851,1957
1877,106,1851,1957
1878,112,2020,2132
1878,112,2020,2132
1879,119,2162,2281
1879,119,2162,2281
1880,137,2308,2445
1880,137,2308,2445
1881,156,2442,2598
1881,156,2442,2598
1882,164,2599,2763
1882,164,2599,2763
1883,178,2752,2930
1883,178,2752,2930
1884,195,2910,3105
1884,195,2910,3105
1885,211,3067,3278
1885,211,3067,3278
1886,215,3208,3423
1886,215,3208,3423
1887,235,3381,3616
1887,235,3381,3616
1888,243,3573,3816
1888,243,3573,3816
1889,248,3794,4042
1889,248,3794,4042
1890,267,4001,4268
1890,267,4001,4268
1891,293,4193,4486
1891,293,4193,4486
1892,301,4388,4689
1892,301,4388,4689
1893,314,4638,4952
1893,314,4638,4952
1894,329,4840,5169
1894,329,4840,5169
1895,342,5043,5385
1895,342,5043,5385
1896,374,5251,5625
1896,374,5251,5625
1897,394,5461,5855
1897,394,5461,5855
1898,408,5670,6078
1898,408,5670,6078
1899,1372,5845,7217
1899,1372,5845,7217
1900,1406,6121,7527
1900,1406,6121,7527
1901,1432,6351,7783
1901,1432,6351,7783
1902,1445,6537,7982
1902,1445,6537,7982
1903,1462,6714,8176
1903,1462,6714,8176
1904,1478,6887,8365
1904,1478,6887,8365
1905,1494,7165,8659
1905,1494,7165,8659
1906,1505,7396,8901
1906,1505,7396,8901
1907,1528,7661,9189
1907,1528,7661,9189
1908,1551,7939,9490
1908,1551,7939,9490
1909,1569,8246,9815
1909,1569,8246,9815
1910,1596,8513,10109
1910,1596,8513,10109
1911,1630,8762,10392
1911,1630,8762,10392
1912,1658,9025,10683
1912,1658,9025,10683
1913,1678,9273,10951
1913,1678,9273,10951
1914,1711,9537,11248
1914,1711,9537,11248
1915,1752,9795,11547
1915,1752,9795,11547
1916,1784,10061,11845
1916,1784,10061,11845
1917,1836,10323,12159
1917,1836,10323,12159
