observed_scientific_name,valid_scientific_name,vernacular_en
Prunus pensylvanica,Prunus pensylvanica,pin cherry
Sorbus americana,Sorbus americana,american mountain-ash
Populus tremuloides,Populus tremuloides,trembling aspen
Populus balsamifera,Populus balsamifera,balsam poplar
Salix,Salix,willow
Acer spicatum,Acer spicatum,mountain maple
Pinus strobus,Pinus strobus,eastern white pine
Larix laricina,Larix laricina,tamarack
Prunus serotina,Prunus serotina,black cherry
Fraxinus nigra,Fraxinus nigra,black ash
Quercus macrocarpa,Quercus macrocarpa,bur oak
Populus grandidentata,Populus grandidentata,large-toothed aspen
Alnus incana rugosa,Alnus incana rugosa,speckled alder
Pinus banksiana,Pinus banksiana,jack pine
Betula populifolia,Betula populifolia,grey birch
Acer saccharinum,Acer saccharinum,silver maple
Fraxinus pennsylvanica,Fraxinus pennsylvanica,red ash
Carya cordiformis,Carya cordiformis,NULL
Pinus resinosa,Pinus resinosa,red pine
Picea abies,Picea abies,norway spruce
Populus deltoides,Populus deltoides,eastern cottonwood
Malus,Malus,apple
Sorbus decora,Sorbus decora,showy mountain-ash
Prunus virginiana,Prunus virginiana,chokecherry
Amelanchier,Amelanchier,serviceberry
Ulmus rubra,Ulmus rubra,slippery elm
Quercus alba,Quercus alba,white oak
Carpinus caroliniana,Carpinus caroliniana,blue-beech
Rhamnus,Rhamnus,buckthorn
Alnus alnobetula crispa,Alnus viridis crispa,american green alder
Pinus sylvestris,Pinus sylvestris,scots pine
Acer negundo,Acer negundo,manitoba maple
Cornus alternifolia,Cornus alternifolia,alternate-leaved dogwood
Crataegus,Crataegus,hawthorn
Celtis occidentalis,Celtis occidentalis,common hackberry
Corylus cornuta,Corylus cornuta,beaked hazelnut
Rhus typhina,Rhus typhina,staghorn sumac
Ilex mucronata,Ilex mucronata,mountain holly
Sambucus racemosa,Sambucus racemosa,red elderberry
Sambucus canadensis,Sambucus canadensis,common elderberry
Populus jackii,Populus jackii,jack's hybrid poplar
Larix decidua,Larix decidua,european larch
Larix kaempferi,Larix kaempferi,japanese larch
Rhamnus cathartica,Rhamnus cathartica,european buckthorn
Prunus nigra,Prunus nigra,canada plum
Robinia pseudoacacia,Robinia pseudoacacia,black locust
Aesculus hippocastanum,Aesculus hippocastanum,common horsechestnut
Sander vitreus,Sander vitreus,walleye
Esox lucius,Esox lucius,northern pike
Coregonus clupeaformis,Coregonus clupeaformis,lake whitefish
Catostomus commersonii,Catostomus commersonii,white sucker
Semotilus corporalis,Semotilus corporalis,fallfish
Perca flavescens,Perca flavescens,yellow perch
Salvelinus namaycush,Salvelinus namaycush,lake trout
Salvelinus fontinalis,Salvelinus fontinalis,aurora trout
Ameiurus nebulosus,Ameiurus nebulosus,brown bullhead
Sander canadensis,Sander canadensis,sauger
Lota lota,Lota lota,burbot
