"id","source_name","source_id","source_record_id","scientific_name","authorship","rank","valid","valid_srid","classification_srids","created_at","modified_at","modified_by"
152635,"Catalogue of Life","1","6VM","Atherinopsidae",NULL,"family",True,"6VM","{5T6MX,N,CH2,CT,RY,6VM}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
289716,"Catalogue of Life","1","HBJ","Tortricidae",NULL,"family",True,"HBJ","{5T6MX,N,RT,H6,LP,5RG,HBJ}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
195495,"GBIF Backbone Taxonomy","11","4957","Candaciidae",NULL,"family",True,"4957","{1,54,9421786,679,4957}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
204925,"GBIF Backbone Taxonomy","11","3323","Dentaliidae",NULL,"family",True,"3323","{1,52,276,1152,3323}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
191396,"ITIS","3","159540","Molgulidae",NULL,"family",True,"159540","{202423,914154,914156,158852,158853,158854,159224,159225,159540}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
22344,"ITIS","3","19275","Fagaceae",NULL,"family",True,"19275","{202422,954898,846494,954900,846496,846504,18063,846548,19273,19275}","2021-11-22 16:46:51.554553-05","2021-11-22 16:46:51.554553-05","vbeaure"
184237,"ITIS","3","85075","Trachyleberididae",NULL,"family",True,"85075","{202423,914154,914155,914158,82696,83677,84195,84409,609939,609943,609966,85075}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
22218,"GBIF Backbone Taxonomy","11","3925","Pinaceae",NULL,"family",True,"3925","{6,7707728,194,640,3925}","2021-11-22 16:46:51.554553-05","2021-11-22 16:46:51.554553-05","vbeaure"
278663,"ITIS","3","29034","Zygophyllaceae",NULL,"family",True,"29034","{202422,954898,846494,954900,846496,846504,18063,846548,846631,29034}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
195758,"Catalogue of Life","1","7NFV5","Aequoreidae",NULL,"family",True,"7NFV5","{5T6MX,N,CN2,6224W,7NF5F,7NG7R,7NFV5}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
171994,"GBIF Backbone Taxonomy","11","7873","Heptageniidae",NULL,"family",True,"7873","{1,54,216,1225,7873}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
282692,"Catalogue of Life","1","GVY","Tachinidae",NULL,"family",True,"GVY","{5T6MX,N,RT,H6,D2P,GVY}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
191067,"Catalogue of Life","1","7NJMK","Mactridae",NULL,"family",True,"7NJMK","{5T6MX,N,M2L,7NF3C,7NVXG,7NVXR,7VBDP,7NVY2,7NGCF,7NFPQ,7NJMK}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
206405,"Catalogue of Life","1","9JV","Echeneidae",NULL,"family",True,"9JV","{5T6MX,N,CH2,CT,PC,9JV}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
256306,"Catalogue of Life","1","8BT","Cleveaceae",NULL,"family",True,"8BT","{5T6MX,P,52,6224H,3HV,8BT}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
190790,"GBIF Backbone Taxonomy","11","3479","Corbulidae",NULL,"family",True,"3479","{1,52,137,9241244,3479}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
231628,"Catalogue of Life","1","626CB","Parmeliaceae",NULL,"family",True,"626CB","{5T6MX,F,SM,DM,3FC,626CB}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
184635,"Catalogue of Life","1","7NKDK","Periplomatidae",NULL,"family",True,"7NKDK","{5T6MX,N,M2L,7NF3C,7NVXG,7NVXR,7VBDP,7NVXV,7NH2L,7NKDK}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
260415,"GBIF Backbone Taxonomy","11","5464","Dermochelyidae",NULL,"family",True,"5464","{1,44,358,793,5464}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
152364,"ITIS","3","202002","Moronidae",NULL,"family",True,"202002","{202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,202002}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
197736,"GBIF Backbone Taxonomy","11","9595","Beroidae",NULL,"family",True,"9595","{1,51,224,824,9595}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
183891,"ITIS","3","67224","Flabelligeridae",NULL,"family",True,"67224","{202423,914154,914155,914159,64357,64358,914195,555669,555672,67224}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
203112,"Catalogue of Life","1","66P","Alepocephalidae",NULL,"family",True,"66P","{5T6MX,N,CH2,CT,3QF,66P}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
203426,"Catalogue of Life","1","7NFXL","Anomiidae",NULL,"family",True,"7NFXL","{5T6MX,N,M2L,7NF3C,7NVXG,7NF5P,7NG8V,7NGGH,7NFXL}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
201110,"ITIS","3","157151","Echinasteridae",NULL,"family",True,"157151","{202423,914154,914156,156857,914171,156862,988845,157060,157151}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
198134,"ITIS","3","53878","Mertensiidae",NULL,"family",True,"53878","{202423,914153,53856,53858,53859,53878}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
251813,"GBIF Backbone Taxonomy","11","8343","Candelariaceae",NULL,"family",True,"8343","{5,95,10792796,1269,8343}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
174477,"ITIS","3","76676","Physidae",NULL,"family",True,"76676","{202423,914154,914155,914159,69458,69459,76437,76676}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
276229,"ITIS","3","114321","Erotylidae",NULL,"family",True,"114321","{202423,914154,914155,914158,82696,563886,99208,100500,563890,914213,109216,112747,678305,114289,114321}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
233013,"GBIF Backbone Taxonomy","11","6116","Ptilidiaceae",NULL,"family",True,"6116","{6,9,126,914,6116}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
182167,"GBIF Backbone Taxonomy","11","6184","Cucumariidae",NULL,"family",True,"6184","{1,50,222,1482,6184}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
