NOM_SCI,FAM,SYN_FAM
Agelenopsis potteri,Agelenidae,
Agelenopsis utahana,Agelenidae,
Coras aerialis,Agelenidae,
Coras juvenilis,Agelenidae,
Coras medicinalis,Agelenidae,
Coras lamellosus,Agelenidae,
Coras montanus,Agelenidae,
Eratigena atrica,Agelenidae,
Tegenaria domestica,Agelenidae,Trichopus - Philoica - Drassina - Mevianops - Philoicides - Iamatega - Sabitega
Wadotes calcaratus,Agelenidae,
Wadotes hybridus,Agelenidae,
Amaurobius borealis,Amaurobiidae,Walmus
Amaurobius ferox,Amaurobiidae,Walmus
Amaurobius similis,Amaurobiidae,Walmus
Callobius bennetti,Amaurobiidae,
Callobius nomeus,Amaurobiidae,
Cybaeopsis euopla ,Amaurobiidae,Callioplus
Cybaeopsis tibialis  ,Amaurobiidae,Callioplus
Anyphaena celer  ,Anyphaenidae,
Wulfila saltabundus  ,Anyphaenidae,Anyphaenella - Cranus
Acanthepeira stellata  ,Araneidae,
Aculepeira carbonaroides  ,Araneidae,
Araneus alboventris ,Araneidae,Aranea - Atea - Neosconella - Amamrotypus - Cambridgepeira - Conaranea - Conepeira - Cathaistela
Araneus bicentenarius ,Araneidae,Aranea - Atea - Neosconella - Amamrotypus - Cambridgepeira - Conaranea - Conepeira - Cathaistela
Araneus cavaticus ,Araneidae,Aranea - Atea - Neosconella - Amamrotypus - Cambridgepeira - Conaranea - Conepeira - Cathaistela
Araneus corticarius ,Araneidae,Aranea - Atea - Neosconella - Amamrotypus - Cambridgepeira - Conaranea - Conepeira - Cathaistela
Araneus diadematus,Araneidae,Aranea - Atea - Neosconella - Amamrotypus - Cambridgepeira - Conaranea - Conepeira - Cathaistela
Araneus groenlandicola,Araneidae,Aranea - Atea - Neosconella - Amamrotypus - Cambridgepeira - Conaranea - Conepeira - Cathaistela
Araneus guttulatus,Araneidae,Aranea - Atea - Neosconella - Amamrotypus - Cambridgepeira - Conaranea - Conepeira - Cathaistela
Araneus juniperi ,Araneidae,Aranea - Atea - Neosconella - Amamrotypus - Cambridgepeira - Conaranea - Conepeira - Cathaistela
Araneus marmoreus ,Araneidae,Aranea - Atea - Neosconella - Amamrotypus - Cambridgepeira - Conaranea - Conepeira - Cathaistela
Araneus nordmanni,Araneidae,Aranea - Atea - Neosconella - Amamrotypus - Cambridgepeira - Conaranea - Conepeira - Cathaistela
Araneus saevus,Araneidae,Aranea - Atea - Neosconella - Amamrotypus - Cambridgepeira - Conaranea - Conepeira - Cathaistela
Araneus thaddeus,Araneidae,Aranea - Atea - Neosconella - Amamrotypus - Cambridgepeira - Conaranea - Conepeira - Cathaistela
Araneus trifolium,Araneidae,Aranea - Atea - Neosconella - Amamrotypus - Cambridgepeira - Conaranea - Conepeira - Cathaistela
Araneus washingtoni  ,Araneidae,Aranea - Atea - Neosconella - Amamrotypus - Cambridgepeira - Conaranea - Conepeira - Cathaistela
Araniella displicita ,Araneidae,
Araniella proxima  ,Araneidae,
Argiope aurantia,Araneidae,Austrargiope - Chaetargiope - Coganargiope - Heterargiope - Brachygea
Argiope trifasciata  ,Araneidae,Austrargiope - Chaetargiope - Coganargiope - Heterargiope - Brachygea
Cercidia prominens,Araneidae,
Cyclosa conica,Araneidae,Parazygia
Eustala anastera ,Araneidae,
Eustala cepina  ,Araneidae,
Hypsosinga groenlandica ,Araneidae,
Hypsosinga pygmaea ,Araneidae,
Hypsosinga rubens  ,Araneidae,
Larinioides cornutus,Araneidae,
Larinioides patagiatus,Araneidae,
Larinioides sclopetarius  ,Araneidae,
Mangora gibberosa ,Araneidae,Abbotia - Abbotiana
Mangora placida  ,Araneidae,Abbotia - Abbotiana
Mastophora hutchinsoni,Araneidae,
Metepeira plustris,Araneidae,
Neoscona arabesca,Araneidae,Chinestela - Cubanella - Afraranea
Singa keyserlingi,Araneidae,
Zygiella atrica,Araneidae,Zygia - Parazygiella
Zygiella nearctica,Araneidae,Zygia - Parazygiella
Cheirachantium mildei,Cheiracanthiidae,
Clubonia abbotii,Clubionidae,
Clubonia bishopi,Clubionidae,
Clubonia bryantae,Clubionidae,
Clubonia canadensis,Clubionidae,
Clubonia chippewa,Clubionidae,
Clubonia furcata,Clubionidae,
Clubonia johnsoni,Clubionidae,
Clubonia kastoni,Clubionidae,
Clubonia kulczynskii ,Clubionidae,
Clubonia maritima ,Clubionidae,
Clubonia moesta,Clubionidae,
Clubonia norvegica,Clubionidae,
Clubonia obesa,Clubionidae,
Clubonia opeongo,Clubionidae,
Clubonia pallidula,Clubionidae,
Clubonia pikei,Clubionidae,
Clubonia praematura,Clubionidae,
Clubonia pygmaea,Clubionidae,
Clubonia quebecana,Clubionidae,
Clubonia riparia,Clubionidae,
Clubonia spiralis,Clubionidae,
Clubonia trivialis,Clubionidae,
Elaver excepta,Clubionidae,Heterochemmis - Clubionoides
Castianeira cingulata ,Corinnidae,
Castianeira descripta ,Corinnidae,
Castianeira longipalpa  ,Corinnidae,
Cybaeota calcarata,Cybaeidae,
Argenna obesa,Dictynidae,
Dictyna alaskae ,Dictynidae,
Dictyna bostoniensis,Dictynidae,
Dictyna brevitarsa,Dictynidae,
Dictyna coloradensis,Dictynidae,
Dictyna foliacea,Dictynidae,
Dictyna major,Dictynidae,
Dictyna minuta ,Dictynidae,
Dictyna quadrispinosa ,Dictynidae,
Dictyna volucripes,Dictynidae,
Emblyna annulipes,Dictynidae,
Emblyna chitina,Dictynidae,
Emblyna decaprini,Dictynidae,
Emblyna hentzi ,Dictynidae,
Emblyna manitoba ,Dictynidae,
Emblyna maxima ,Dictynidae,
Emblyna phylax ,Dictynidae,
Emblyna sublata  ,Dictynidae,
Lathys foxii ,Dictynidae,Lethia - Auximus - Analtella
Lathys pallida  ,Dictynidae,Lethia - Auximus - Analtella
Dysdera crocata ,Dysderidae,
Callilepis pluto,Gnaphosidae,
Cesonia bilineata,Gnaphosidae,Eilicina
Drassodes mirus ,Gnaphosidae,Geodrassus - Mesklia - Sillemia - Kirmaka - Siruasus
Drassodes neglectus  ,Gnaphosidae,Geodrassus - Mesklia - Sillemia - Kirmaka - Siruasus
Drassyllus depressus ,Gnaphosidae,
Drassyllus eremitus ,Gnaphosidae,
Drassyllus fallens ,Gnaphosidae,
Drassyllus niger ,Gnaphosidae,
Drassyllus socius ,Gnaphosidae,
Gnaphosa borea,Gnaphosidae,Cylphosa - Pterochroa
Gnaphosa brumalis,Gnaphosidae,Cylphosa - Pterochroa
Gnaphosa microps,Gnaphosidae,Cylphosa - Pterochroa
Gnaphosa muscorum,Gnaphosidae,Cylphosa - Pterochroa
Gnaphosa orites,Gnaphosidae,Cylphosa - Pterochroa
Gnaphosa parvula,Gnaphosidae,Cylphosa - Pterochroa
Haplodrassus bicornis,Gnaphosidae,Tuvadrassus
Haplodrassus hiemalis,Gnaphosidae,Tuvadrassus
Haplodrassus eunis,Gnaphosidae,Tuvadrassus
Haplodrassus signifer  ,Gnaphosidae,Tuvadrassus
Herpyllus ecclesisticus,Gnaphosidae,Bonna
Micaria aenea,Gnaphosidae,Macaria - Chrysothrix - Micariolepsis - Bona - Epikurtomma - Castanilla - Arboricaria
Micaria longipes,Gnaphosidae,Macaria - Chrysothrix - Micariolepsis - Bona - Epikurtomma - Castanilla - Arboricaria
Micaria longispina,Gnaphosidae,Macaria - Chrysothrix - Micariolepsis - Bona - Epikurtomma - Castanilla - Arboricaria
Micaria pulicaria,Gnaphosidae,Macaria - Chrysothrix - Micariolepsis - Bona - Epikurtomma - Castanilla - Arboricaria
Micaria riggsi,Gnaphosidae,Macaria - Chrysothrix - Micariolepsis - Bona - Epikurtomma - Castanilla - Arboricaria
Micaria tripunctata ,Gnaphosidae,Macaria - Chrysothrix - Micariolepsis - Bona - Epikurtomma - Castanilla - Arboricaria
Orodrassus canadensis,Gnaphosidae,
Sergiolus capulatus,Gnaphosidae,
Sergiolus decoratus,Gnaphosidae,
Sergiolus montanus ,Gnaphosidae,
Sergiolus ocellatus  ,Gnaphosidae,
Sosticus insularis,Gnaphosidae,Sostogeus
Sosticus loricatus,Gnaphosidae,Sostogeus
Zelotes exiguoides ,Gnaphosidae,Melanophora - Aracus - Scotophinus - Zavattarica
Zelotes fratis ,Gnaphosidae,Melanophora - Aracus - Scotophinus - Zavattarica
Zelotes hentzi ,Gnaphosidae,Melanophora - Aracus - Scotophinus - Zavattarica
Zelotes puritanus ,Gnaphosidae,Melanophora - Aracus - Scotophinus - Zavattarica
Zelotes sula ,Gnaphosidae,Melanophora - Aracus - Scotophinus - Zavattarica
Antistea brunnea,Hahniidae,
Cicurina arcuata ,Hahniidae,Tetrilus - Moguracicurina
Cicurina brevis,Hahniidae,Tetrilus - Moguracicurina
Cicurina itasca,Hahniidae,Tetrilus - Moguracicurina
Cicurina pallida,Hahniidae,Tetrilus - Moguracicurina
Cicurina robusta,Hahniidae,Tetrilus - Moguracicurina
Cryphoeca montana,Hahniidae,
Hahnia cinerea ,Hahniidae,Scotussa - Muizenbergia - Hahnistea - Hahniops - Simonida - Unzickeria - Spinihahnia
Hahnia glacialis ,Hahniidae,Scotussa - Muizenbergia - Hahnistea - Hahniops - Simonida - Unzickeria - Spinihahnia
Neoantistea agilis ,Hahniidae,
Neoantistea magna  ,Hahniidae,
Acanthoneta aggressa ,Linyphiidae,
Acanthoneta furcata  ,Linyphiidae,
Agyneta allosubtilis ,Linyphiidae,Eupolis - Anomalaria - Meioneta - Aprolagus - Syedrula - Gnathantes
Agyneta amersaxatilis ,Linyphiidae,Eupolis - Anomalaria - Meioneta - Aprolagus - Syedrula - Gnathantes
Agyneta dynica ,Linyphiidae,Eupolis - Anomalaria - Meioneta - Aprolagus - Syedrula - Gnathantes
Agyneta fabra ,Linyphiidae,Eupolis - Anomalaria - Meioneta - Aprolagus - Syedrula - Gnathantes
Agyneta jacksoni ,Linyphiidae,Eupolis - Anomalaria - Meioneta - Aprolagus - Syedrula - Gnathantes
Agyneta nigripes ,Linyphiidae,Eupolis - Anomalaria - Meioneta - Aprolagus - Syedrula - Gnathantes
Agyneta olivacea ,Linyphiidae,Eupolis - Anomalaria - Meioneta - Aprolagus - Syedrula - Gnathantes
Agyneta sheffordiana ,Linyphiidae,Eupolis - Anomalaria - Meioneta - Aprolagus - Syedrula - Gnathantes
Agyneta simplex ,Linyphiidae,Eupolis - Anomalaria - Meioneta - Aprolagus - Syedrula - Gnathantes
Agyneta unimaculata  ,Linyphiidae,Eupolis - Anomalaria - Meioneta - Aprolagus - Syedrula - Gnathantes
Allomengea dentisetis ,Linyphiidae,Pedina - Mengea - Pedinella
Allomengea vidua  ,Linyphiidae,Pedina - Mengea - Pedinella
Aphileta microtarsa ,Linyphiidae,Minyrioloides - Porrhothrix - Acanthophyma
Aphileta misera  ,Linyphiidae,Minyrioloides - Porrhothrix - Acanthophyma
Baryphyma gowerense ,Linyphiidae,
Baryphyma trifrons  ,Linyphiidae,
Bathyphantes alboventris ,Linyphiidae,Bathyphantoides - Oreodia
Bathyphantes brevipes ,Linyphiidae,Bathyphantoides - Oreodia
