Species Name,Scientific Name Authorship,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
"Sphagnum russowii Warnstorf, 1886","Warnstorf, 1886",Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum russowii,
"Sphagnum girgensohnii Russow, 1865","Russow, 1865",Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum girgensohnii,
"Sphagnum capillifolium Hedwig, 1782","Hedwig, 1782",Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum capillifolium,
"Sphagnum magellanicum Bridel, 1798","Bridel, 1798",Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum magellanicum,
"Sphagnum fuscum KlinggrÃ¤ff, 1872","KlinggrÃ¤ff, 1872",Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum fuscum,
"Sphagnum rubellum Wilson, 1855","Wilson, 1855",Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum rubellum,
"Sphagnum angustifolium C. E. O. Jensen, 1896","C. E. O. Jensen, 1896",Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum angustifolium,
"Sphagnum fallax KlinggrÃ¤ff, 1881","KlinggrÃ¤ff, 1881",Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum fallax,
"Aulacomnium palustre Schwaegrichen, 1827","Schwaegrichen, 1827",Plantae,Bryophyta,Bryopsida,Bryales,Aulacomniaceae,Aulacomnium,Aulacomnium palustre,
Sphagnum warnstorfii Russ.,Russ.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum warnstorfii,
"Sphagnum squarrosum Crome in Hoppe, 1803","Crome in Hoppe, 1803",Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum squarrosum,
"Sphagnum majus C. E. O. Jensen, 1890","C. E. O. Jensen, 1890",Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum majus,
