Species Name,Scientific Name Authorship,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
Trillium erectum Stell.,Stell.,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Trillium,Trillium erectum,
Clintonia borealis (Aiton) Raf.,Raf. (Aiton),Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Clintonia,Clintonia borealis,
Maianthemum canadense Desf.,Desf.,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Maianthemum,Maianthemum canadense,
Trillium undulatum Willd.,Willd.,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Trillium,Trillium undulatum,
Arisaema triphyllum (L.) Schott,Schott (L.),Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Arisaema,Arisaema triphyllum,
Lythrum salicaria L.,L.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Lythrum,Lythrum salicaria,
Cypripedium acaule Aiton,Aiton,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cypripedium,Cypripedium acaule,
Sagittaria latifolia Willd.,Willd.,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Sagittaria,Sagittaria latifolia,
Onoclea sensibilis L.,L.,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Onocleaceae,Onoclea,Onoclea sensibilis,
Dryopteris spinulosa (O.F.Muell.) O. Kuntze,O. Kuntze (O.F.Muell.),,,,,,,Dryopteris spinulosa,
Athyrium filix-femina (L.) Roth ex Mert.,Roth ex Mert. (L.),,,,,,,Athyrium filix-femina,
Erythronium americanum Ker Gawl.,Ker Gawl.,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Erythronium,Erythronium americanum,
Thuja occidentalis L.,L.,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Thuja,Thuja occidentalis,
Streptopus lanceolatus (Aiton) Reveal,Reveal (Aiton),Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Streptopus,Streptopus lanceolatus,
Iris versicolor Thunb.,Thunb.,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Iris,Iris versicolor,
Maianthemum racemosum (L.) Link,Link (L.),Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Maianthemum,Maianthemum racemosum,
Athyrium asplenioides (Michx.) Desv.,Desv. (Michx.),Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Athyriaceae,Athyrium,Athyrium asplenioides,
