taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
7007,Typhulaceae,7007,Typhulaceae,8,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Typhulaceae,7007,,,,,,,,,,,,,,,,,,
2516514,Phragmidium tuberculatum Jul.Müll.,2516514,Phragmidium tuberculatum Jul.Müll.,1,ACCEPTED,Fungi,5,Basidiomycota,34,Pucciniomycetes,270,Pucciniales,1126,Phragmidiaceae,7587,Phragmidium,2516372,Phragmidium tuberculatum,2516514,2516514,NE,,,,,,,,,,,,
2516784,Uredinopsis filicina (Niessl) Magnus,2516784,Uredinopsis filicina (Niessl) Magnus,2,ACCEPTED,Fungi,5,Basidiomycota,34,Pucciniomycetes,270,Pucciniales,1126,Pucciniastraceae,7585,Uredinopsis,2516783,Uredinopsis filicina,2516784,2516784,NE,,,,,,,,,,,,
2518121,Candida Berkhout,1923,2518121,Candida Berkhout,15,GENUS,ACCEPTED,Fungi,5,Ascomycota,95,Saccharomycetes,182,Saccharomycetales,1281,Debaryomycetaceae,5893341,Candida,2518121,2518121,,,,,,,,,,,,,
2520696,Fomitiporia tsugina Murrill,8669905,Fomitiporia punctata (P.Karst.) Murrill,4,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Hymenochaetales,1304,Hymenochaetaceae,8468,Fomitiporia,2521363,Fomitiporia punctata,8669905,8669905,NE,,,,,,,,,,,,
2526892,Mycena radicatella (Peck) Sacc.,2526880,Mycena galericulata (Scop.) Gray,1,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Mycenaceae,4180,Mycena,5955261,Mycena galericulata,2526880,2526880,NE,,,,,,,,,,,,
2550168,Limnoperdon incarnatum G.A.Escobar,2550168,Limnoperdon incarnatum G.A.Escobar,1,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Tricholomataceae,8787,Limnoperdon,2550167,Limnoperdon incarnatum,2550168,2550168,NE,,,,,,,,,,,,
2563651,Sphaerostilbe coccophila Tul. & C.Tul.,2563653,Cosmospora flammea (Tul. & C.Tul.) Rossman & Samuels,1,SYNONYM,Fungi,5,Ascomycota,95,Sordariomycetes,320,Hypocreales,1290,Nectriaceae,4152,Cosmospora,2562924,Cosmospora flammea,2563653,2563653,NE,,,,,,,,,,,,
2579682,Lophodermium aucupariae (Schleich.) Darker,2579682,Lophodermium aucupariae (Schleich.) Darker,1,ACCEPTED,Fungi,5,Ascomycota,95,Leotiomycetes,179,Rhytismatales,1278,Rhytismataceae,8281,Lophodermium,2577759,Lophodermium aucupariae,2579682,2579682,NE,,,,,,,,,,,,
2607991,Toninia cumulata (Sommerf.) Th.Fr.,5470645,Stereocaulon cumulatum (Sommerf.) Timdal,2,SYNONYM,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Lecanorales,1048,Stereocaulaceae,8302,Stereocaulon,2608513,Stereocaulon cumulatum,5470645,5470645,NE,,,,,,,,,,,,
3342568,Galerina dicranorum A.H.Sm. & Singer,3342568,Galerina dicranorum A.H.Sm. & Singer,4,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Hymenogastraceae,3309302,Galerina,9570632,Galerina dicranorum,3342568,3342568,NE,,,,,,,,,,,,
3343759,Pholiota squarrosoides (Peck) Sacc.,3343759,Pholiota squarrosoides (Peck) Sacc.,57,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Strophariaceae,4186,Pholiota,2528397,Pholiota squarrosoides,3343759,3343759,NE,,,,,,,,,,,,
3356502,Rhizopogon nigrescens Coker & Couch,3356502,Rhizopogon nigrescens Coker & Couch,1,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Boletales,1063,Rhizopogonaceae,8452,Rhizopogon,2524218,Rhizopogon nigrescens,3356502,3356502,NE,,,,,,,,,,,,
3400074,Myriolecis sambuci (Pers.) Clem.,10861993,Polyozosia sambuci (Pers.) S.Y.Kondr., L.Lőkös & Farkas,SPECIES,SYNONYM,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Lecanorales,1048,Ramalinaceae,4812,Polyozosia,3403052,Polyozosia sambuci,Polyozosia sambuci,10861993,NE,,,,,,,,,,,
3563987,Cladosporiaceae,3563987,Cladosporiaceae,25,ACCEPTED,Fungi,5,Ascomycota,95,Dothideomycetes,183,Capnodiales,1262,Cladosporiaceae,3563987,,,,,,,,,,,,,,,,,,
5244027,Lichenomphalia hudsoniana (H.S.Jenn.) Redhead, Lutzoni, Moncalvo & Vilgalys,5244027, Lutzoni, Moncalvo & Vilgalys,33,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Hygrophoraceae,4176,4176,Lichenomphalia,3268941,Lichenomphalia hudsoniana,5244027,NE,,,,,,,,
5248110,Poria elongata Overh.,7533790,Yuchengia narymica (Pilát) B.K.Cui, C.L.Zhao & K.T.Steffen,SPECIES,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Polyporaceae,3286,Yuchengia,7969055,Yuchengia narymica,Yuchengia narymica,7533790,NE,,,,,,,,,,,
5261872,Catinula turgida (Fr.) Desm.,2612838,Dothichiza turgida (Fr.) Höhn.,12,SYNONYM,Fungi,5,Ascomycota,95,Dothideomycetes,183,Dothideales,1033,Dothioraceae,4803,Dothichiza,2566685,Dothichiza turgida,2612838,2612838,NE,,,,,,,,,,,,
5453143,Crepidotus vulgaris Hesler & A.H.Sm.,5453143,Crepidotus vulgaris Hesler & A.H.Sm.,1,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Inocybaceae,4177,Crepidotus,2526680,Crepidotus vulgaris,5453143,5453143,NE,,,,,,,,,,,,
5488022,Xylaria filiformis f. caulincola Rehm,5255152,Xylaria filiformis (Alb. & Schwein.) Fr.,1,SYNONYM,Fungi,5,Ascomycota,95,Sordariomycetes,320,Xylariales,1298,Xylariaceae,4168,Xylaria,2568748,Xylaria filiformis,5255152,5255152,,,,,,,,,,,,,
7824600,Gymnosporangium cornutum (Pers.) Arthur,7824600,Gymnosporangium cornutum (Pers.) Arthur,5,ACCEPTED,Fungi,5,Basidiomycota,34,Pucciniomycetes,270,Pucciniales,1126,Pucciniaceae,3251,Gymnosporangium,2516085,Gymnosporangium cornutum,7824600,7824600,NE,,,,,,,,,,,,
8023258,Amanita albocreata (G.F.Atk.) E.-J.Gilbert,8023258,Amanita albocreata (G.F.Atk.) E.-J.Gilbert,12,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Amanitaceae,4171,Amanita,6005964,Amanita albocreata,8023258,8023258,NE,,,,,,,,,,,,
8065793,Parvoplaca tiroliensis (Zahlbr.) Arup, Søchting & Frödén,8065793,Parvoplaca tiroliensis (Zahlbr.) Arup,1,SPECIES,ACCEPTED,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Teloschistales,1050,Teloschistaceae,8368,Parvoplaca,8649790,8649790,Parvoplaca tiroliensis,8065793,NE,,,,,,,,,,
8396400,Hebeloma sinapizans (Paulet) Gillet,8396400,Hebeloma sinapizans (Paulet) Gillet,2,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Hymenogastraceae,3309302,Hebeloma,2528519,Hebeloma sinapizans,8396400,8396400,NE,,,,,,,,,,,,
2544322,Peniophora candida Lyman,2544313,Bulbillomyces farinosus (Bres.) Jülich,1,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Meruliaceae,3287,Bulbillomyces,2544312,Bulbillomyces farinosus,2544313,2544313,NE,,,,,,,,,,,,
2546066,Lopharia cinerascens (Schwein.) G.Cunn.,2546066,Lopharia cinerascens (Schwein.) G.Cunn.,7,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Polyporaceae,3286,Lopharia,2541232,Lopharia cinerascens,2546066,2546066,NE,,,,,,,,,,,,
2551392,Russula risigallina (Batsch) Sacc.,2551392,Russula risigallina (Batsch) Sacc.,4,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Russulales,1144,Russulaceae,7609,Russula,2551169,Russula risigallina,2551392,2551392,NE,,,,,,,,,,,,
2551798,Albatrellopsis peckiana (Cooke) Teixeira,2551803,Xanthoporus peckianus (Cooke) Audet,1,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Meruliaceae,3287,Xanthoporus,2551845,Xanthoporus peckianus,2551803,2551803,NE,,,,,,,,,,,,
2560819,Zignoella Saccardo,1878,2560819,Zignoella Saccardo,3,GENUS,ACCEPTED,Fungi,5,Ascomycota,95,Sordariomycetes,320,Chaetosphaeriales,1284,Chaetosphaeriaceae,8409,Zignoella,2560819,2560819,,,,,,,,,,,,,
2581213,Cylindrosporium hiemalis (B.B.Higgins) Sacc.,2581196,Blumeriella jaapii (Rehm) Arx,2,SYNONYM,Fungi,5,Ascomycota,95,Leotiomycetes,179,Helotiales,1052,Drepanopezizaceae,3274331,Blumeriella,2581195,Blumeriella jaapii,2581196,2581196,NE,,,,,,,,,,,,
2593015,Synchytrium de Bary & Woronin,1865,2593015,Synchytrium de Bary & Woronin,30,GENUS,ACCEPTED,Fungi,5,Chytridiomycota,94,Chytridiomycetes,318,Chytridiales,1118,Synchytriaceae,7568,Synchytrium,2593015,2593015,,,,,,,,,,,,,
2600227,Ochrolechia pseudopallescens Brodo,2600227,Ochrolechia pseudopallescens Brodo,30,ACCEPTED,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Pertusariales,1051,Ochrolechiaceae,4114,Ochrolechia,2569815,Ochrolechia pseudopallescens,2600227,2600227,NE,,,,,,,,,,,,
2606539,Bryoria nadvornikiana (Gyeln.) Brodo & D.Hawksw.,2606539,Bryoria nadvornikiana (Gyeln.) Brodo & D.Hawksw.,109,ACCEPTED,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Lecanorales,1048,Parmeliaceae,8305,Bryoria,2606529,Bryoria nadvornikiana,2606539,2606539,NE,,,,,,,,,,,,
2612586,Phaeocryptopus nudus (Peck) Petr.,2612586,Phaeocryptopus nudus (Peck) Petr.,2,ACCEPTED,Fungi,5,Ascomycota,95,Dothideomycetes,183,Capnodiales,1262,Capnodiaceae,4794,Phaeocryptopus,9611749,Phaeocryptopus nudus,2612586,2612586,NE,,,,,,,,,,,,
3282058,Amanitopsis strangulata (Fr.) Roze,5240306,Amanita vaginata (Bull.) Lam.,1,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Amanitaceae,4171,Amanita,6005964,Amanita vaginata,5240306,5240306,NE,,,,,,,,,,,,
3322458,Marasmius spissus Gilliam,3322458,Marasmius spissus Gilliam,3,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Marasmiaceae,4179,Marasmius,2526678,Marasmius spissus,3322458,3322458,NE,,,,,,,,,,,,
3390427,Cladonia sobolescens (Nyl.) Vainio,3390427,Cladonia sobolescens (Nyl.) Vainio,1,ACCEPTED,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Lecanorales,1048,Cladoniaceae,8328,Cladonia,2607519,Cladonia sobolescens,3390427,3390427,NE,,,,,,,,,,,,
3540609,Leptosphaeria faullii Darker,3540609,Leptosphaeria faullii Darker,1,ACCEPTED,Fungi,5,Ascomycota,95,Dothideomycetes,183,Pleosporales,1047,Leptosphaeriaceae,8307,Leptosphaeria,7981442,Leptosphaeria faullii,3540609,3540609,NE,,,,,,,,,,,,
3543391,Polycoccum pulvinatum (Eitner) R.Sant.,3543391,Polycoccum pulvinatum (Eitner) R.Sant.,2,ACCEPTED,Fungi,5,Ascomycota,95,Dothideomycetes,183,Trypetheliales,7186734,Polycoccaceae,9709894,Polycoccum,8305728,Polycoccum pulvinatum,3543391,3543391,NE,,,,,,,,,,,,
5241744,Tricholoma cingulatum (Almfelt ex Fr.) Jacobashch,5241744,Tricholoma cingulatum (Almfelt ex Fr.) Jacobashch,15,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Tricholomataceae,8787,Tricholoma,2527766,Tricholoma cingulatum,5241744,5241744,NE,,,,,,,,,,,,
5242061,Lepista multiformis (Romell) Gulden,5242061,Lepista multiformis (Romell) Gulden,3,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Tricholomataceae,8787,Lepista,2532282,Lepista multiformis,5242061,5242061,NE,,,,,,,,,,,,
5246848,Polyporus albus (Huds.) Fr.,2543885,Bjerkandera fumosa (Pers.) P.Karst.,1,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Meruliaceae,3287,Bjerkandera,2541138,Bjerkandera fumosa,2543885,2543885,NE,,,,,,,,,,,,
5259490,Verrucaria elaeomelaena (A.Massal.) Arnold,5259490,Verrucaria elaeomelaena (A.Massal.) Arnold,4,ACCEPTED,Fungi,5,Ascomycota,95,Eurotiomycetes,178,Verrucariales,1043,Verrucariaceae,4841,Verrucaria,2538295,Verrucaria elaeomelaena,5259490,5259490,NE,,,,,,,,,,,,
5494573,Rhytisma americanum Hudler & Banik,5494573,Rhytisma americanum Hudler & Banik,37,ACCEPTED,Fungi,5,Ascomycota,95,Leotiomycetes,179,Rhytismatales,1278,Rhytismataceae,8281,Rhytisma,2513984,Rhytisma americanum,5494573,5494573,NE,,,,,,,,,,,,
6101701,Boletus grevillei Klotzsch,5239864,Suillus grevillei (Klotzsch) Singer,1,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Boletales,1063,Suillaceae,8455,Suillus,7414997,Suillus grevillei,5239864,5239864,LC,,,,,,,,,,,,
6755442,Bispora betulina (Corda) S.Hughes,6755442,Bispora betulina (Corda) S.Hughes,1,ACCEPTED,Fungi,5,Ascomycota,95,Dothideomycetes,183,Capnodiales,1262,Teratosphaeriaceae,4800,Bispora,6755436,Bispora betulina,6755442,6755442,NE,,,,,,,,,,,,
7435623,Ochroconis longiphorum (Matsush.) Samerp. & de Hoog,7435623,Ochroconis longiphorum (Matsush.) Samerp. & de Hoog,6,ACCEPTED,Fungi,5,Ascomycota,95,Dothideomycetes,183,Venturiales,7446671,Sympoventuriaceae,8206374,Ochroconis,2584455,Ochroconis longiphorum,7435623,7435623,NE,,,,,,,,,,,,
8028942,Cortinarius cinnamomeus (L.) Gray,8028942,Cortinarius cinnamomeus (L.) Gray,21,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Cortinariaceae,4172,Cortinarius,2524960,Cortinarius cinnamomeus,8028942,8028942,NE,,,,,,,,,,,,
8074634,Ustilago lorentziana von Thümen,2557547,Ustilago bullata Berk.,1,SYNONYM,Fungi,5,Basidiomycota,34,Ustilaginomycetes,148,Ustilaginales,1121,Ustilaginaceae,3821,Ustilago,2513349,Ustilago bullata,2557547,2557547,NE,,,,,,,,,,,,
8094275,Orbilia xanthoguttulata Baral,8094275,Orbilia xanthoguttulata Baral,1,ACCEPTED,Fungi,5,Ascomycota,95,Orbiliomycetes,181,Orbiliales,1056,Orbiliaceae,4127,Orbilia,2513009,Orbilia xanthoguttulata,8094275,8094275,NE,,,,,,,,,,,,
8168319,Amanita muscaria (L.) Lam.,8168319,Amanita muscaria (L.) Lam.,307,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Amanitaceae,4171,Amanita,6005964,Amanita muscaria,8168319,8168319,NE,,,,,,,,,,,,
8498650,Helminthosphaeria clavariarum (Desm.) Fuckel,8498650,Helminthosphaeria clavariarum (Desm.) Fuckel,16,ACCEPTED,Fungi,5,Ascomycota,95,Sordariomycetes,320,Sordariales,1061,Helminthosphaeriaceae,8434,Helminthosphaeria,2569544,Helminthosphaeria clavariarum,8498650,8498650,NE,,,,,,,,,,,,
10821128,Chaenothecopsis marcineae Selva,10821128,Chaenothecopsis marcineae Selva,4,ACCEPTED,Fungi,5,Ascomycota,95,Eurotiomycetes,178,Mycocaliciales,1045,Mycocaliciaceae,4844,Chaenothecopsis,2595699,Chaenothecopsis marcineae,10821128,10821128,NE,,,,,,,,,,,,
2516783,Uredinopsis Magnus,1893,2516783,Uredinopsis Magnus,7,GENUS,ACCEPTED,Fungi,5,Basidiomycota,34,Pucciniomycetes,270,Pucciniales,1126,Pucciniastraceae,7585,Uredinopsis,2516783,2516783,,,,,,,,,,,,,
2529031,Cortinarius renidens Fr.,2529031,Cortinarius renidens Fr.,4,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Cortinariaceae,4172,Cortinarius,2524960,Cortinarius renidens,2529031,2529031,NE,,,,,,,,,,,,
2530894,Nyctalis agaricoides (Fr.) Bon & Courtec.,9210867,Asterophora lycoperdoides (Bull.) Ditmar,3,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Lyophyllaceae,4178,Asterophora,2530880,Asterophora lycoperdoides,9210867,9210867,NE,,,,,,,,,,,,
2531107,Clitocybe cerussata (Fr.) P.Kumm.,2531103,Clitocybe phyllophila (Pers.) P.Kumm.,2,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Tricholomataceae,8787,Clitocybe,2519188,Clitocybe phyllophila,2531103,2531103,NE,,,,,,,,,,,,
2531730,Armillaria imperialis (Fr.) Quél.,2531729,Catathelasma imperiale (P.Karst.) Singer,1,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Tricholomataceae,8787,Catathelasma,2531722,Catathelasma imperiale,2531729,2531729,NE,,,,,,,,,,,,
2533972,Kuehneromyces lignicola (Peck) Redhead,2533974,Pholiota lignicola (Peck) Jacobsson,14,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Strophariaceae,4186,Pholiota,2528397,Pholiota lignicola,2533974,2533974,NE,,,,,,,,,,,,
2539897,Entoloma phaeocyathum Noordel.,2539897,Entoloma phaeocyathum Noordel.,2,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Entolomataceae,4174,Entoloma,2530002,Entoloma phaeocyathum,2539897,2539897,NE,,,,,,,,,,,,
