"fid","within_quebec","geom"
"855101","True","MULTIPOLYGON(((-79.77413502158974 46.795772360332826,-80.22329266364952 46.97301113617428,-80.22329266364952 47.32573259083572,-79.77413502158974 47.50121581120846,-79.32497737953 47.32573259083572,-79.32497737953 46.97301113617428,-79.77413502158974 46.795772360332826)))"
"855102","True","MULTIPOLYGON(((-79.77413502158974 47.850428750131066,-80.22329266364952 48.024159135835944,-80.22329266364952 48.3698695606592,-79.77413502158974 48.54185038840175,-79.32497737953 48.3698695606592,-79.32497737953 48.024159135835944,-79.77413502158974 47.850428750131066)))"
"855103","True","MULTIPOLYGON(((-79.77413502158974 48.884065394003045,-80.22329266364952 49.0543004778452,-80.22329266364952 49.3930282153543,-79.77413502158974 49.56152188828269,-79.32497737953 49.3930282153543,-79.32497737953 49.0543004778452,-79.77413502158974 48.884065394003045)))"
"855104","True","MULTIPOLYGON(((-79.77413502158974 49.89677152835408,-80.22329266364952 50.06352862398913,-80.22329266364952 50.39531032037834,-79.77413502158974 50.56033615484632,-79.32497737953 50.39531032037834,-79.32497737953 50.06352862398913,-79.77413502158974 49.89677152835408)))"
"855105","True","MULTIPOLYGON(((-79.77413502158974 50.88866100833348,-80.22329266364952 51.05196136232246,-80.22329266364952 51.37684138502317,-79.77413502158974 51.538422486042094,-79.32497737953 51.37684138502317,-79.32497737953 51.05196136232246,-79.77413502158974 50.88866100833348)))"
"855106","True","MULTIPOLYGON(((-79.77413502158974 53.74090104049521,-80.22329266364952 53.89399371533502,-80.22329266364952 54.19850365951542,-79.77413502158974 54.34992286598044,-79.32497737953 54.19850365951542,-79.32497737953 53.89399371533502,-79.77413502158974 53.74090104049521)))"
"855108","True","MULTIPOLYGON(((-79.32497737953 46.2605410411582,-79.77413502158974 46.43953751872483,-79.77413502158974 46.795772360332826,-79.32497737953 46.97301113617428,-78.87581973747022 46.795772360332826,-78.87581973747022 46.43953751872483,-79.32497737953 46.2605410411582)))"
"855109","True","MULTIPOLYGON(((-79.32497737953 47.32573259083572,-79.77413502158974 47.50121581120846,-79.77413502158974 47.850428750131066,-79.32497737953 48.024159135835944,-78.87581973747022 47.850428750131066,-78.87581973747022 47.50121581120846,-79.32497737953 47.32573259083572)))"
"855110","True","MULTIPOLYGON(((-79.32497737953 48.3698695606592,-79.77413502158974 48.54185038840175,-79.77413502158974 48.884065394003045,-79.32497737953 49.0543004778452,-78.87581973747022 48.884065394003045,-78.87581973747022 48.54185038840175,-79.32497737953 48.3698695606592)))"
"855111","True","MULTIPOLYGON(((-79.32497737953 49.3930282153543,-79.77413502158974 49.56152188828269,-79.77413502158974 49.89677152835408,-79.32497737953 50.06352862398913,-78.87581973747022 49.89677152835408,-78.87581973747022 49.56152188828269,-79.32497737953 49.3930282153543)))"
"855112","True","MULTIPOLYGON(((-79.32497737953 50.39531032037834,-79.77413502158974 50.56033615484632,-79.77413502158974 50.88866100833348,-79.32497737953 51.05196136232246,-78.87581973747022 50.88866100833348,-78.87581973747022 50.56033615484632,-79.32497737953 50.39531032037834)))"
"855113","True","MULTIPOLYGON(((-79.32497737953 51.37684138502317,-79.77413502158974 51.538422486042094,-79.77413502158974 51.85987056614272,-79.32497737953 52.01973907100145,-78.87581973747022 51.85987056614272,-78.87581973747022 51.538422486042094,-79.32497737953 51.37684138502317)))"
"855115","True","MULTIPOLYGON(((-79.32497737953 53.27826084269948,-79.77413502158974 53.43303553523545,-79.77413502158974 53.74090104049521,-79.32497737953 53.89399371533502,-78.87581973747022 53.74090104049521,-78.87581973747022 53.43303553523545,-79.32497737953 53.27826084269948)))"
