taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,Column1,_1,_2,_3
2676901,Bryum caespiticium Hedwig,1801,2676901,Bryum caespiticium Hedwig,35,SPECIES,ACCEPTED,Plantae,6,Bryophyta,35,Bryopsida,327,Bryales,1333,Bryaceae,8736,Bryum,2676502,Bryum caespiticium,,2676901,NE,,
2678413,Climacium F.Weber & D.Mohr,2678413,Climacium F.Weber & D.Mohr,1,ACCEPTED,Plantae,6,Bryophyta,35,Bryopsida,327,Leucodontales,1340,Climaciaceae,8762,Climacium,2678413,,,2676901,,,,,
2727217,Carex eburnea Boott,2727217,Carex eburnea Boott,127,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Carex,2721893,Carex eburnea,2727217,,,,,,
2874569,Cucumis sativus L.,2874569,Cucumis sativus L.,23,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Cucurbitales,7224005,Cucurbitaceae,6634,Cucumis,2874568,Cucumis sativus,2874569,,,,,,
2925902,Lithospermum arvense L.,7294854,Buglossoides arvensis subsp. arvensis,1,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Boraginales,7226464,Boraginaceae,2498,Buglossoides,2925900,Buglossoides arvensis,2925901,,,,,,
3032869,Saxifraga cernua L.,3032869,Saxifraga cernua L.,150,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Saxifragales,7219248,Saxifragaceae,2402,Saxifraga,2987833,Saxifraga cernua,3032869,,,,,,
3049483,Draba clivicola Fernald,3049482,Draba norvegica Gunnerus,7,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Brassicaceae,3112,Draba,3049396,Draba norvegica,3049482,,,,,,
3084737,Claytonia cordifolia S.Watson,3084737,Claytonia cordifolia S.Watson,1,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Montiaceae,4898338,Claytonia,3084729,Claytonia cordifolia,3084737,,,,,,
3169707,Vinca minor L.,3169707,Vinca minor L.,462,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Gentianales,412,Apocynaceae,6701,Vinca,3169706,Vinca minor,3169707,,,,,,
3172354,Fraxinus pennsylvanica var. subintegerrima (Vahl) Fernald,3172348,Fraxinus pennsylvanica Marshall,23,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Oleaceae,6652,Fraxinus,3172323,Fraxinus pennsylvanica,3172348,,,,,,
3191157,Drosera intermedia Hayne,3191157,Drosera intermedia Hayne,190,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Droseraceae,5399,Drosera,3190721,Drosera intermedia,3191157,,,,,,
3663639,Cornus canadensis subsp. pristina Gervais & Blondeau,3082270,Cornus canadensis L.,5,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Cornales,949,Cornaceae,6713,Cornus,3082226,Cornus canadensis,3082270,,,,,,
4277443,Lophozia quadriloba (Lindb.) A.Evans,8235800,Schljakovianthus quadrilobus (Lindb.) Konstant. & Vilnet,2,SYNONYM,Plantae,6,Marchantiophyta,9,Jungermanniopsida,126,Jungermanniales,381,Anastrophyllaceae,2292,Schljakovianthus,4891037,Schljakovianthus quadrilobus,8235800,,,,,,
4279741,Scorpidium turgescens (T.Jensen) Loeske,2681657,Pseudocalliergon turgescens Loeske,1907,SPECIES,SYNONYM,Plantae,6,Bryophyta,35,Bryopsida,327,Hypnales,617,Amblystegiaceae,4650,Pseudocalliergon,2681656,Pseudocalliergon turgescens,,,NE,,,
