"scientific_name","rank"
"Prunus pensylvanica","species"
"Sorbus americana","species"
"Populus tremuloides","species"
"Populus balsamifera","species"
"Salix","genus"
"Acer spicatum","species"
"Pinus strobus","species"
"Larix laricina","species"
"Prunus serotina","species"
"Fraxinus nigra","species"
"Quercus macrocarpa","species"
"Populus grandidentata","species"
"Alnus incana rugosa","infraspecies"
"Pinus banksiana","species"
"Betula populifolia","species"
"Acer saccharinum","species"
"Fraxinus pennsylvanica","species"
"Carya cordiformis","species"
"Pinus resinosa","species"
"Picea abies","species"
"Populus deltoides","species"
"Malus","genus"
"Sorbus decora","species"
"Prunus virginiana","species"
"Amelanchier","genus"
"Ulmus rubra","species"
"Quercus alba","species"
"Carpinus caroliniana","species"
"Rhamnus","genus"
"Alnus alnobetula crispa","infraspecies"
"Pinus sylvestris","species"
"Acer negundo","species"
"Cornus alternifolia","species"
"Crataegus","genus"
"Celtis occidentalis","species"
"Corylus cornuta","species"
"Rhus typhina","species"
"Ilex mucronata","species"
"Sambucus racemosa","species"
"Sambucus canadensis","species"
"Populus jackii","species"
"Larix decidua","species"
"Larix kaempferi","species"
"Rhamnus cathartica","species"
"Prunus nigra","species"
"Robinia pseudoacacia","species"
"Aesculus hippocastanum","species"
"Sander vitreus","species"
"Esox lucius","species"
"Coregonus clupeaformis","species"
"Catostomus commersonii","species"
"Semotilus corporalis","species"
"Perca flavescens","species"
"Salvelinus namaycush","species"
"Salvelinus fontinalis","species"
"Ameiurus nebulosus","species"
"Sander canadensis","species"
"Lota lota","species"
"Percopsis omiscomaycus","species"
"Culaea inconstans","species"
"Margariscus margarita","species"
"Phoxinus eos","species"
"Salmo salar","species"
"Semotilus atromaculatus","species"
"Oncorhynchus mykiss","species"
"Moxostoma macrolepidotum","species"
"Ambloplites rupestris","species"
"Percina caprodes","species"
"Hiodon alosoides","species"
"Notemigonus crysoleucas","species"
"Micropterus dolomieu","species"
"Cottus cognatus","species"
"Catostomus catostomus","species"
"Luxilus cornutus","species"
"Lepomis gibbosus","species"
"Umbra limi","species"
"Rhinichthys cataractae","species"
"Phoxinus neogaeus","species"
"Notropis hudsonius","species"
"Moxostoma anisurum","species"
"Salmo trutta","species"
"Micropterus salmoides","species"
"Fundulus diaphanus","species"
"Pimephales notatus","species"
"Etheostoma nigrum","species"
"Notropis atherinoides","species"
"Notropis heterodon","species"
"Notropis heterolepis","species"
"Rhinichthys atratulus","species"
"Cottus bairdii","species"
"Coregonus","genus"
"Couesius plumbeus","species"
"Exoglossum maxillingua","species"
"Pimephales promelas","species"
"Etheostoma olmstedi","species"
"Hybognathus regius","species"
"Phoxinus","genus"
"Hiodon tergisus","species"
"Moxostoma valenciennesi","species"
"Etheostoma","genus"
"Prosopium cylindraceum","species"
"Esox masquinongy","species"
"Notropis stramineus","species"
"Aplodinotus grunniens","species"
"Notropis volucellus","species"
"Morone americana","species"
"Etheostoma flabellare","species"
"Cyprinus carpio","species"
"Gasterosteus aculeatus","species"
"Ictalurus","genus"
"Semotilus","genus"
"Lepomis macrochirus","species"
"Morone saxatilis","species"
"Microgadus tomcod","species"
"Mallotus villosus","species"
"Menida menida","species"
"Pungitius pungitius","species"
"Apeltes quadracus","species"
"Liopsetta putnami","species"
"Esox americanus americanus","species"
"Petromyzon marinus","species"
"Fundulus heteroclitus","species"
"Gasterosteus wheatlandi","species"
"Alosa pseudoharengus","species"
"Stizostedion vitreum","species"
"Salvelinus","genus"
"Lampetra appendix","species"
"Ictalurus punctatus","species"
"Ichthyomyzon unicuspis","species"
"Picoides pubescens","species"
"Oreothlypis peregrina","species"
"Surnia ulula","species"
"Oreothlypis celata","species"
"Ammodramus leconteii","species"
"Ammodramus nelsoni","species"
"Melanitta fusca","species"
"Strix nebulosa","species"
"Falco rusticolus","species"
"Ambystoma maculatum","species"
"Lithobates sylvaticus","species"
"Plethodon cinereus","species"
"Lithobates catesbeianus","species"
"Eurycea bislineata","species"
"Storeria occipitomaculata","species"
"Thamnophis sirtalis","species"
"Necturus maculosus maculosus","infraspecies"
"Anaxyrus americanus","species"
"Pseudacris crucifer","species"
"Lithobates pipiens","species"
"Notophthalmus viridescens","species"
"Lithobates clamitans melanota","infraspecies"
"Lithobates septentrionalis","species"
"Chelydra serpentina","species"
"Ambystoma laterale","species"
"Hyla versicolor","species"
"Gyrinophilus porphyriticus porphyriticus","infraspecies"
"Cottus ricei","species"
"Myoxocephalus scorpius","species"
"Cancer irroratus","species"
