"scientific_name"
"Ameiurus natalis"
"Passer domesticus"
"Mimus polyglottos"
"Lepisosteus oculatus"
"Martes americana"
"Procyon lotor"
"Scolopax minor"
"Oncorhynchus mykiss"
"Myodes gapperi"
"Eremophila alpestris"
"Morus bassanus"
"Lepisosteus osseus"
"Podilymbus podiceps"
"Percina caprodes"
"Mallotus villosus"
"Anaxyrus americanus"
"Melanostigma atlanticum"
"Sterna dougallii"
"Harriotta raleighana"
"Euphagus cyanocephalus"
"Eumicrotremus spinosus"
"Carcharodon carcharias"
"Gaidropsarus ensis"
"Hirundo rustica"
"Haliaeetus leucocephalus"
"Reinhardtius hippoglossoides"
"Hydrobates leucorhous"
"Careproctus reinhardti"
"Bathylagus euryops"
"Salmo trutta"
"Phoca vitulina"
"Eurycea bislineata"
"Magnisudis atlantica"
"Coregonus clupeaformis"
"Catostomus commersonii"
"Pekania pennanti"
"Stenella coeruleoalba"
"Myotis septentrionalis"
"Morone chrysops"
"Morone americana"
"Leucoraja ocellata"
"Pantherophis obsoletus"
"Glyptocephalus cynoglossus"
"Ursus americanus"
"Acipenser oxyrinchus"
"Macrhybopsis storeriana"
"Accipiter cooperii"
"Alca torda"
"Coregonus hoyi"
"Liopsetta putnami"
"Liparis fabricii"
"Petromyzon marinus"
"Uria aalge"
"Cistothorus palustris"
"Gasterosteus aculeatus"
"Cynoscion regalis"
"Strix varia"
"Lepus americanus"
"Notemigonus crysoleucas"
"Nezumia bairdii"
"Buteo platypterus"
"Rissa tridactyla"
"Anarhichas denticulatus"
"Pseudopleuronectes americanus"
"Napaeozapus insignis"
"Centroscyllium fabricii"
"Zenopsis conchifer"
"Moxostoma carinatum"
"Gymnelus viridis"
"Plethodon cinereus"
"Thunnus thynnus"
"Canis latrans"
"Rangifer tarandus"
"Scophthalmus aquosus"
"Alosa sapidissima"
"Helicolenus dactylopterus"
"Pandion haliaetus"
"Boreogadus saida"
"Zapus hudsonius"
"Eubalaena glacialis"
"Stenotomus chrysops"
"Setophaga palmarum"
"Lycenchelys verrillii"
"Cyclopterus lumpus"
"Peromyscus maniculatus"
"Esox lucius"
"Prosopium cylindraceum"
"Microtus pennsylvanicus"
"Acipenser brevirostrum"
"Coccyzus americanus"
"Cygnus columbianus"
"Dryophytes versicolor"
"Percopsis omiscomaycus"
"Squalus acanthias"
"Oncorhynchus gorbuscha"
"Lophius americanus"
"Aplodinotus grunniens"
"Lithobates pipiens"
"Bombycilla cedrorum"
"Sebastes fasciatus"
"Rajella fyllae"
"Aquila chrysaetos"
"Larus smithsonianus"
"Antrostomus vociferus"
"Myoxocephalus octodecemspinosus"
"Centropristis striata"
"Passerella iliaca"
"Cottunculus microps"
"Aegolius acadicus"
"Lycodes pallidus"
"Phocoena phocoena"
"Balaenoptera physalus"
"Myoxocephalus scorpioides"
"Morone saxatilis"
"Larus marinus"
"Erethizon dorsata"
"Tautogolabrus adspersus"
"Chrysemys picta"
"Lasiurus cinereus"
"Ameiurus nebulosus"
"Acipenser fulvescens"
"Pimephales notatus"
"Synchiropus agassizii"
"Sebastes norvegicus"
"Liparis tunicatus"
"Carassius auratus"
"Plethodon jordani"
"Canis lupus"
"Aspidophoroides monopterygius"
"Cyprinus carpio"
"Carpiodes cyprinus"
"Dermochelys coriacea"
"Pomoxis nigromaculatus"
"Bubo virginianus"
"Buteo lineatus"
"Zenaida macroura"
"Macrourus berglax"
"Lumpenus lampretaeformis"
"Lumpenus fabricii"
"Lithobates clamitans"
"Myoxocephalus aenaeus"
"Lycodes terraenovae"
"Castor canadensis"
"Megaptera novaeangliae"
"Dorosoma cepedianum"
"Halichoerus grypus"
"Glaucomys sabrinus"
"Graptemys geographica"
"Icelus spatula"
"Ictalurus punctatus"
"Stichaeus punctatus"
"Gymnocanthus tricuspis"
"Liparis gibbus"
"Lynx rufus"
"Amblyraja radiata"
"Sphyrna lewini"
"Sigmops elongatus"
"Chlorophthalmus agassizi"
"Porzana carolina"
"Fundulus heteroclitus"
"Globicephala melas"
"Vireo flavifrons"
"Menidia menidia"
"Loxia curvirostra"
"Noturus flavus"
"Pungitius pungitius"
"Clupea harengus"
"Malacoraja senta"
"Clemmys guttata"
"Tamiasciurus hudsonicus"
"Anguilla rostrata"
"Delphinus delphis"
"Hippoglossoides platessoides"
"Antimora rostrata"
"Ardea herodias"
"Lepomis gulosus"
"Oncorhynchus tshawytscha"
"Pseudacris triseriata"
"Lasiurus borealis"
"Careproctus ranula"
"Desmognathus ochrophaeus"
"Dibranchus atlanticus"
"Cyprinodon variegatus"
"Notropis hudsonius"
"Chelydra serpentina"
"Sebastes mentella"
"Syngnathus fuscus"
"Nemichthys scolopaceus"
"Ameiurus melas"
"Scomber scombrus"
"Anaxyrus fowleri"
"Dipturus laevis"
"Falco peregrinus"
"Lycodes lavalaei"
"Gyrinophilus porphyriticus"
"Brevoortia tyrannus"
"Icterus galbula"
"Odobenus rosmarus"
"Accipiter striatus"
"Tetronarce nobiliana"
"Pholis gunnellus"
"Lithobates sylvaticus"
"Lagenorhynchus acutus"
"Odocoileus virginianus"
"Serrivomer beanii"
"Myxine glutinosa"
"Neogobius melanostomus"
"Hippoglossus hippoglossus"
"Lycodes esmarkii"
"Ambystoma maculatum"
"Leptoclinus maculatus"
"Citharichthys arctifrons"
"Sturnella magna"
"Lithobates catesbeianus"
"Ammodytes americanus"
"Aegolius funereus"
"Pseudacris maculata"
"Cottunculus thomsonii"
"Artediellus atlanticus"
"Clemmys insculpta"
"Paralichthys oblongus"
"Eumesogrammus praecisus"
"Salvelinus namaycush"
"Baeolophus bicolor"
"Accipiter gentilis"
"Notacanthus chemnitzii"
"Phycis chesteri"
"Asio flammeus"
"Zoarces americanus"
"Tamias striatus"
"Chauliodus sloani"
"Amia calva"
"Ammodytes dubius"
"Cottus cognatus"
"Poecile atricapillus"
"Numenius phaeopus"
"Eptesicus fuscus"
"Cetorhinus maximus"
"Argentina silus"
"Chiasmodon niger"
"Notophthalmus viridescens"
"Balaenoptera musculus"
"Myzopsetta ferruginea"
"Storeria dekayi"
"Molothrus ater"
"Asio otus"
"Umbra limi"
"Notropis atherinoides"
"Pomatomus saltatrix"
"Alosa pseudoharengus"
"Branta bernicla"
"Moxostoma anisurum"
"Urophycis tenuis"
"Bathyraja spinicauda"
"Perca flavescens"
"Merluccius bilinearis"
"Paralepis coregonoides"
"Alces americanus"
"Osmerus mordax"
"Lepus arcticus"
"Micropterus dolomieu"
"Salmo salar"
"Scomberesox saurus"
"Brosme brosme"
"Hemitripterus americanus"
"Rhinochimaera atlantica"
"Quiscalus quiscula"
"Artediellus uncinatus"
"Lycodes reticulatus"
"Sistrurus catenatus"
"Apeltes quadracus"
"Stomias boa"
"Ardenna grisea"
"Lycodes vahlii"
"Esox masquinongy"
"Haemorhous mexicanus"
"Leucoraja garmani"
"Ictiobus cyprinellus"
"Lopholatilus chamaeleonticeps"
"Trachyrincus murrayi"
"Limosa haemastica"
"Lithobates palustris"
"Delphinapterus leucas"
"Dolichonyx oryzivorus"
"Ulvaria subbifurcata"
"Sterna paradisaea"
"Merluccius albidus"
"Catharus bicknelli"
"Lepomis macrochirus"
"Buteo lagopus"
"Mustela erminea"
"Melanogrammus aeglefinus"
"Lepomis gibbosus"
"Ursus maritimus"
"Melanerpes erythrocephalus"
"Gasterosteus wheatlandi"
"Anser caerulescens"
"Sialia sialis"
"Simenchelys parasitica"
"Sterna hirundo"
"Polymixia lowei"
"Circus hudsonius"
"Hydroprogne caspia"
"Calidris canutus"
"Anarhichas lupus"
"Cryptacanthodes maculatus"
"Anchoa mitchilli"
"Synaphobranchus kaupii"
"Labidesthes sicculus"
"Necturus maculosus"
"Pollachius virens"
"Leptagonus decagonus"
"Nerodia sipedon"
"Etheostoma nigrum"
