"geom","min_year","max_year","year_interval","year_count","id"
"POINT(-77.229936 44.152886)",1992,2018,26,"27",13597
"POINT(-65.50048 43.2532)",1983,1994,11,"12",12275
"POINT(-76.06 44.055)",1976,2015,39,"40",13043
"POINT(-74.018383 39.10066)",1982,2015,33,"34",14453
"POINT(-50.370609 48.414273)",1977,2000,23,"24",14393
"POINT(-65.57426 46.98624)",2011,2014,3,"2",15166
"POINT(-65.098835 42.729563)",1979,1992,13,"7",10933
"POINT(-65.3 43)",1970,1997,27,"28",13218
"POINT(-48.319336 48.138699)",1996,2010,14,"15",14875
"POINT(-61.56738 44.19795)",1982,1994,12,"6",12227
"POINT(-63 47)",1976,2014,38,"15",10014
"POINT(-64.965766 47.341712)",2007,2010,3,"3",15785
"POINT(-64.8083 47.67109)",2011,2014,3,"2",15246
"POINT(-55.995809 46.034584)",1970,1994,24,"24",10255
"POINT(-77.396957 43.50608)",1997,2018,21,"22",13989
"POINT(-65.50048 43.2532)",1982,1994,12,"13",11336
"POINT(-79.240319 42.87999)",2003,2008,5,"6",11160
"POINT(-61.56738 44.19795)",1970,1981,11,"12",11731
"POINT(-65.029957 47.777114)",2004,2010,6,"7",15339
"POINT(-66.291594 46.666605)",1970,2014,44,"45",12802
"POINT(-55.995809 46.034584)",1970,1994,24,"24",10776
"POINT(-59.348941 46.441917)",1992,1994,2,"3",10705
"POINT(-61.56738 44.19795)",1995,2016,21,"21",12505
"POINT(-61.56738 44.19795)",1982,1994,12,"13",11714
"POINT(-65.50048 43.2532)",1972,1981,9,"9",12035
"POINT(-61.56738 44.19795)",1970,1981,11,"12",12031
"POINT(-61.164851 45.857738)",1996,1997,1,"2",14055
"POINT(-58.635512 47.364248)",1971,1994,23,"18",10575
"POINT(-61.56738 44.19795)",1995,2016,21,"22",11692
"POINT(-66.11572 44.8247)",1997,2012,15,"16",14773
"POINT(-86 50)",1970,2014,44,"45",12845
"POINT(-55.39306 45.80582)",1983,2013,30,"29",13101
"POINT(-72.88129 46.69751)",2016,2020,4,"2",16053
"POINT(-61.56738 44.19795)",1977,1981,4,"4",12462
"POINT(-67 41)",1950,1998,48,"49",13364
"POINT(-53.37158 51.46769)",1979,2011,32,"33",14665
"POINT(-65.50048 43.2532)",1970,1981,11,"12",11802
"POINT(-61.56738 44.19795)",1982,1994,12,"13",12338
"POINT(-65.50048 43.2532)",1982,1994,12,"13",12466
"POINT(-59.348941 46.441917)",1980,1994,14,"6",11088
"POINT(-48.319336 48.138699)",1996,2010,14,"15",14898
"POINT(-67.506713 41.1087)",1987,2008,21,"22",11245
"POINT(-48.319336 48.138699)",1975,1982,7,"8",14858
"POINT(-78.523333 45.595278)",1952,1995,43,"43",11280
"POINT(-74.381869 45.160229)",1988,2014,26,"3",14042
"POINT(-78.5 45.58333)",1976,1989,13,"14",10123
"POINT(-55.995809 46.034584)",1970,1993,23,"15",10238
"POINT(-57.690888 43.437611)",1973,1992,19,"11",10264
"POINT(-69 43)",1967,1989,22,"23",13377
"POINT(-82.134735 48.575324)",2002,2004,2,"3",10110
"POINT(-61.56738 44.19795)",1995,2016,21,"22",11518
"POINT(-72.88129 46.69751)",2016,2021,5,"6",16015
"POINT(-64.554866 46.218937)",2004,2010,6,"7",15517
"POINT(-61.56738 44.19795)",1982,1994,12,"13",12005
"POINT(-61.56738 44.19795)",1982,1994,12,"13",12002
"POINT(-61.181309 42.866877)",1982,1987,5,"4",10417
"POINT(-61.56738 44.19795)",1970,1981,11,"12",12461
"POINT(-68.3 43.3)",2007,2014,7,"8",14526
"POINT(-74.381869 45.160229)",1998,2016,18,"5",13972
"POINT(-56.383301 46.711721)",1972,1982,10,"10",14945
"POINT(-63.188167 45.760967)",2009,2010,1,"2",15758
"POINT(-72.88129 46.69751)",2016,2020,4,"2",16008
"POINT(-61.181309 42.866877)",1982,1987,5,"5",10997
"POINT(-61.87121 45.68314)",2011,2014,3,"2",15580
"POINT(-66.214847 41.627502)",1980,1993,13,"10",10825
"POINT(-70 60)",1955,1980,25,"26",10094
"POINT(-63.802767 46.136433)",2011,2014,3,"2",15262
"POINT(-63.758716 46.383956)",2007,2008,1,"2",15545
"POINT(-61.455567 46.07815)",2011,2014,3,"2",15366
"POINT(-74.381869 45.160229)",2002,2016,14,"3",13949
"POINT(-79.361398 43.62142)",2006,2012,6,"4",13467
"POINT(-57.690888 43.437611)",1970,1994,24,"25",10304
"POINT(-50.3 44.3)",1965,1986,21,"22",13158
"POINT(-50.75978 47.607599)",1970,1994,24,"25",10144
"POINT(-65.50048 43.2532)",1970,1981,11,"12",11441
"POINT(-65.50048 43.2532)",1982,1994,12,"13",12335
"POINT(-71.71751 46.41901)",2016,2021,5,"3",15987
"POINT(-65.63232 43.2452)",1982,2006,24,"25",14291
"POINT(-63.758716 46.383956)",2011,2014,3,"2",15351
"POINT(-58.635512 47.364248)",1973,1994,21,"8",11019
"POINT(-64.873712 47.473463)",2011,2014,3,"2",15727
"POINT(-61.56738 44.19795)",1982,1994,12,"13",12098
"POINT(-57.854 44.91813)",1970,2002,32,"33",14331
"POINT(-73.107078 52.941847)",1970,2014,44,"45",12870
"POINT(-52 50)",1962,1992,30,"31",13399
"POINT(-72.88129 46.69751)",2016,2020,4,"2",16172
"POINT(-66.089296 44.42804)",1999,2006,7,"8",11142
"POINT(-57.690888 43.437611)",1987,1994,7,"5",10332
"POINT(-64.873712 47.473463)",2005,2008,3,"4",15476
"POINT(-53.864595 53.910492)",1970,1994,24,"24",10929
"POINT(-49.956886 45.114711)",1973,1993,20,"4",10900
"POINT(-61.56738 44.19795)",1970,1981,11,"8",12385
"POINT(-65.228523 46.710388)",1962,2003,41,"38",10118
"POINT(-52.121122 50.695322)",1978,1994,16,"14",11036
"POINT(-56.383301 46.711721)",1984,1993,9,"5",14916
"POINT(-51 49.15)",1980,1996,16,"17",13346
"POINT(-74.58861 36.44722)",1985,2014,29,"30",14744
"POINT(-63.758716 46.383956)",2007,2010,3,"4",15316
"POINT(-61.56738 44.19795)",1970,1981,11,"7",12279
"POINT(-65.25 44.333333)",1996,1997,1,"2",14067
"POINT(-63 47)",1978,1990,12,"13",13226
"POINT(-57.05 51)",1971,1995,24,"25",13400
"POINT(-50.3 44.3)",1965,1986,21,"22",13221
"POINT(-68.615921 41.275324)",1963,2005,42,"43",14273
"POINT(-64.873712 47.473463)",2005,2010,5,"6",15510
"POINT(-84.499722 49.25)",1995,2005,10,"11",9957
