"geom","year_val"
"POINT(-72.88129 46.69751)",2016
"POINT(-72.88129 46.69751)",2017
"POINT(-72.88129 46.69751)",2018
"POINT(-72.88129 46.69751)",2019
"POINT(-72.88129 46.69751)",2020
"POINT(-72.88129 46.69751)",2021
"POINT(-72.82857 45.04889)",2016
"POINT(-72.82857 45.04889)",2019
"POINT(-72.82857 45.04889)",2021
"POINT(-72.47958 46.88236)",2016
"POINT(-72.47958 46.88236)",2021
"POINT(-71.71751 46.41901)",2016
"POINT(-71.71751 46.41901)",2017
"POINT(-71.71751 46.41901)",2018
"POINT(-71.71751 46.41901)",2019
"POINT(-71.71751 46.41901)",2020
"POINT(-71.71751 46.41901)",2021
"POINT(-70.87637 46.85767)",2016
"POINT(-70.87637 46.85767)",2017
"POINT(-72.88129 46.69751)",2016
"POINT(-72.88129 46.69751)",2018
"POINT(-72.88129 46.69751)",2019
"POINT(-72.88129 46.69751)",2020
"POINT(-72.88129 46.69751)",2021
"POINT(-72.82857 45.04889)",2016
"POINT(-72.82857 45.04889)",2019
"POINT(-72.47958 46.88236)",2016
"POINT(-72.47958 46.88236)",2021
"POINT(-72.82857 45.04889)",2016
"POINT(-72.82857 45.04889)",2019
"POINT(-71.71751 46.41901)",2017
"POINT(-71.71751 46.41901)",2020
"POINT(-70.87637 46.85767)",2017
"POINT(-70.87637 46.85767)",2020
"POINT(-72.82857 45.04889)",2016
"POINT(-72.82857 45.04889)",2021
"POINT(-70.87637 46.85767)",2018
"POINT(-70.87637 46.85767)",2019
"POINT(-72.88129 46.69751)",2016
"POINT(-72.88129 46.69751)",2017
"POINT(-72.88129 46.69751)",2018
"POINT(-72.88129 46.69751)",2019
"POINT(-72.88129 46.69751)",2020
"POINT(-72.88129 46.69751)",2021
"POINT(-72.82857 45.04889)",2016
"POINT(-72.82857 45.04889)",2019
"POINT(-72.82857 45.04889)",2021
"POINT(-71.71751 46.41901)",2016
"POINT(-71.71751 46.41901)",2017
"POINT(-71.71751 46.41901)",2018
"POINT(-71.71751 46.41901)",2020
"POINT(-71.71751 46.41901)",2021
"POINT(-70.87637 46.85767)",2017
"POINT(-70.87637 46.85767)",2018
"POINT(-70.87637 46.85767)",2019
"POINT(-70.87637 46.85767)",2020
"POINT(-70.87637 46.85767)",2021
"POINT(-71.71751 46.41901)",2016
"POINT(-71.71751 46.41901)",2017
"POINT(-71.71751 46.41901)",2018
"POINT(-71.71751 46.41901)",2019
"POINT(-71.71751 46.41901)",2021
"POINT(-72.82857 45.04889)",2016
"POINT(-72.82857 45.04889)",2019
"POINT(-72.82857 45.04889)",2021
"POINT(-71.71751 46.41901)",2018
"POINT(-71.71751 46.41901)",2019
"POINT(-71.71751 46.41901)",2020
"POINT(-71.71751 46.41901)",2021
"POINT(-70.87637 46.85767)",2018
"POINT(-70.87637 46.85767)",2019
"POINT(-70.87637 46.85767)",2020
"POINT(-70.87637 46.85767)",2021
"POINT(-72.88129 46.69751)",2016
"POINT(-72.88129 46.69751)",2017
"POINT(-72.88129 46.69751)",2020
"POINT(-72.88129 46.69751)",2021
"POINT(-72.82857 45.04889)",2016
"POINT(-72.82857 45.04889)",2019
"POINT(-72.82857 45.04889)",2021
"POINT(-71.71751 46.41901)",2016
"POINT(-71.71751 46.41901)",2019
"POINT(-71.71751 46.41901)",2020
"POINT(-71.71751 46.41901)",2021
"POINT(-70.87637 46.85767)",2016
"POINT(-70.87637 46.85767)",2017
"POINT(-70.87637 46.85767)",2018
"POINT(-70.87637 46.85767)",2019
"POINT(-70.87637 46.85767)",2020
"POINT(-72.82857 45.04889)",2016
"POINT(-72.82857 45.04889)",2019
"POINT(-72.82857 45.04889)",2021
"POINT(-71.71751 46.41901)",2016
"POINT(-71.71751 46.41901)",2019
"POINT(-71.71751 46.41901)",2020
"POINT(-71.71751 46.41901)",2021
"POINT(-72.88129 46.69751)",2016
"POINT(-72.88129 46.69751)",2017
"POINT(-72.88129 46.69751)",2018
"POINT(-72.88129 46.69751)",2019
"POINT(-72.88129 46.69751)",2020
"POINT(-72.88129 46.69751)",2021
"POINT(-72.47958 46.88236)",2016
"POINT(-72.47958 46.88236)",2021
"POINT(-72.88129 46.69751)",2016
"POINT(-72.88129 46.69751)",2018
"POINT(-72.88129 46.69751)",2019
"POINT(-72.88129 46.69751)",2020
"POINT(-72.88129 46.69751)",2021
"POINT(-72.82857 45.04889)",2016
"POINT(-72.82857 45.04889)",2019
"POINT(-72.47958 46.88236)",2016
"POINT(-72.47958 46.88236)",2021
"POINT(-71.71751 46.41901)",2018
"POINT(-71.71751 46.41901)",2019
"POINT(-71.71751 46.41901)",2020
"POINT(-71.71751 46.41901)",2021
"POINT(-70.87637 46.85767)",2016
"POINT(-70.87637 46.85767)",2017
"POINT(-72.88129 46.69751)",2018
"POINT(-72.88129 46.69751)",2019
